Time, PoorSignal, Attention, Meditation
15:00:39,0,4,37
15:00:40,0,24,34
15:00:41,0,51,38
15:00:42,0,51,56
15:00:43,0,70,66
15:00:44,0,70,78
15:00:45,0,66,84
15:00:46,0,47,63
15:00:47,0,29,56
15:00:48,0,34,44
15:00:49,0,23,48
15:00:50,0,34,66
15:00:51,26,34,66
15:00:52,26,34,66
15:00:53,0,47,75
15:00:54,0,53,78
15:00:55,0,66,74
15:00:56,0,80,77
15:00:57,0,67,60
15:00:58,0,57,50
15:00:59,0,54,51
15:01:00,0,53,51
15:01:01,0,57,64
15:01:02,0,67,63
15:01:03,0,60,67
15:01:04,0,60,67
15:01:05,0,57,61
15:01:06,0,48,81
15:01:07,0,54,69
15:01:08,0,54,74
15:01:09,0,67,74
15:01:10,0,80,63
15:01:11,0,83,63
15:01:12,0,81,63
15:01:13,0,63,67
15:01:14,0,60,67
15:01:15,0,60,66
15:01:16,0,54,61
15:01:17,0,69,57
15:01:18,0,50,38
15:01:19,0,48,43
15:01:20,0,61,43
15:01:21,0,60,37
15:01:22,0,63,61
15:01:23,0,63,63
15:01:24,0,50,61
15:01:25,0,57,63
15:01:26,0,63,75
15:01:27,0,60,78
15:01:28,0,64,77
15:01:29,0,50,77
15:01:30,0,53,69
15:01:31,0,54,67
15:01:32,0,54,77
15:01:33,0,60,91
15:01:34,0,57,94
15:01:35,0,53,100
15:01:36,0,53,93
15:01:37,0,41,90
15:01:38,0,51,80
15:01:39,0,64,75
15:01:40,0,75,83
15:01:41,0,87,64
15:01:42,0,91,70
15:01:43,0,83,78
15:01:44,0,69,66
15:01:45,0,54,70
15:01:46,0,48,78
15:01:47,0,51,61
15:01:48,0,50,81
15:01:49,0,61,90
15:01:50,0,61,83
15:01:51,0,48,77
15:01:52,0,53,74
15:01:53,0,54,60
15:01:54,0,44,61
15:01:55,0,61,77
15:01:55,0,61,69
15:01:56,0,57,74
15:01:58,0,61,69
15:01:58,0,53,69
15:01:59,0,53,64
15:02:01,0,56,70
15:02:01,0,60,69
15:02:03,0,60,64
15:02:03,0,50,88
15:02:04,0,48,84
15:02:05,0,38,84
15:02:06,0,34,75
15:02:07,0,60,50
15:02:08,0,64,47
15:02:09,0,74,43
15:02:10,0,77,56
15:02:11,0,67,63
15:02:12,0,67,75
15:02:13,0,63,78
15:02:14,0,61,78
15:02:15,0,60,81
15:02:16,0,57,75
15:02:17,0,54,93
15:02:18,0,53,96
15:02:19,0,47,90
15:02:20,0,35,83
15:02:21,0,40,64
15:02:22,0,40,63
15:02:23,0,35,61
15:02:24,0,37,78
15:02:25,0,37,81
15:02:26,0,40,77
15:02:27,0,44,80
15:02:28,0,47,70
15:02:29,0,24,56
15:02:30,0,11,64
15:02:31,0,4,77
15:02:32,0,13,64
15:02:33,0,37,75
15:02:34,0,35,56
15:02:35,0,30,44
15:02:36,0,44,37
