Time, PoorSignal, Attention, Meditation
15:51:57,0,14,23
15:51:58,0,16,35
15:51:59,0,27,37
15:52:00,0,48,48
15:52:01,0,57,61
15:52:02,0,90,57
15:52:03,0,91,66
15:52:04,0,93,67
15:52:05,0,87,56
15:52:06,0,77,77
15:52:07,0,77,78
15:52:08,0,63,78
15:52:09,0,64,87
15:52:10,0,63,78
15:52:11,0,53,77
15:52:12,0,64,83
15:52:13,0,77,78
15:52:14,0,81,81
15:52:15,0,96,80
15:52:16,0,90,74
15:52:17,0,93,80
15:52:18,0,87,83
15:52:19,0,67,84
15:52:20,0,78,81
15:52:21,0,78,75
15:52:22,0,74,66
15:52:23,0,74,51
15:52:24,0,56,40
15:52:25,0,43,44
15:52:26,0,41,44
15:52:27,0,41,61
15:52:28,0,53,88
15:52:29,0,60,84
15:52:30,0,75,90
15:52:31,0,91,96
15:52:32,0,84,91
15:52:33,0,84,93
15:52:34,0,80,91
15:52:35,0,75,90
15:52:36,0,88,80
15:52:37,0,69,75
15:52:38,0,67,69
15:52:39,0,77,64
15:52:40,0,63,66
15:52:41,0,90,70
15:52:42,0,100,64
15:52:43,0,91,67
15:52:44,0,100,67
15:52:45,0,93,75
15:52:46,0,80,87
15:52:47,0,83,88
15:52:48,0,80,90
15:52:49,0,77,84
15:52:50,0,81,84
15:52:51,0,90,83
15:52:52,0,96,90
15:52:53,0,94,83
15:52:54,0,88,75
15:52:55,0,66,74
15:52:56,0,43,66
15:52:57,0,34,67
15:52:58,0,37,70
15:52:59,0,51,78
15:53:00,0,53,66
15:53:01,0,60,70
15:53:02,0,54,69
15:53:03,0,51,67
15:53:04,0,64,78
15:53:05,0,66,80
15:53:06,0,63,69
15:53:07,0,64,60
15:53:08,0,64,56
15:53:09,0,64,67
15:53:10,0,66,87
15:53:11,0,48,91
15:53:12,0,47,94
15:53:13,0,48,81
15:53:14,0,38,60
15:53:15,0,47,57
15:53:16,0,43,50
15:53:17,0,48,54
15:53:18,0,70,67
